simposio	ID:609 	Ecología evolutiva y genética de la conservación de plantas dioicas. 	DIVERSIDAD GENÉTICA DE LA PAPAYA SILVESTRE EN MÉXICO  	Carica papaya, diversidad genética, flujo génico, dioicismo, México 	La papaya (Carica papaya) es la tercera fruta tropical de mayor producción a nivel mundial, siendo México el principal país exportador. En su forma silvestre, la papaya se distribuye de manera natural en las selvas tropicales y sub-tropicales de México. En estado natural, C. papaya es un árbol raro, de corta vida y rápido crecimiento, asociado a claros o sitios con disturbio. Las principales diferencias entre la papaya silvestre y la cultivada radican en el tamaño del fruto y en su morfología floral. Los frutos silvestres tienen un tamaño comparativamente menor, conteniendo casi sólo semillas y un mesocarpo muy delgado. Asimismo, las poblaciones naturales de papaya son estrictamente dioicas, mientras que en papayas cultivadas se pueden encontrar individuos hermafroditas. Al ser dioicas, son más vulnerables a cambios en su ambiente ya que dependen de la presencia de individuos de ambos sexos y de polinizadores y dispersores para una reproducción exitosa. Durante las últimas décadas, su hábitat natural ha sido altamente fragmentado y deforestado, a pesar de esto, poco se sabe sobre el estado de la diversidad genética de poblaciones silvestres. En este estudio se analizó la diversidad genética de la papaya silvestre en su distribución natural de México con marcadores de ADN nuclear y de cloroplasto. Los resultados preliminares para 19 poblaciones de papaya silvestre sugieren niveles moderados de diversidad genética, siendo menores en la zona de la península de Yucatán. Estimaciones de flujo génico y diferenciación poblacional señalan un bajo flujo génico entre poblaciones y una alta estructuración poblacional, así como varias barreras que impiden el flujo de genes. El dioicismo, su corta vida y el bajo flujo génico detectado en poblaciones silvestres de papaya, comprometen la persistencia de la especie de manera natural, así como su reservorio genético y el potencial evolutivo de esta importante especie. 
simposio	ID:704 	Fortalecimiento de capacidades para la vinculación internacional: participación global para la acción local	RETOS Y OPORTUNIDADES DE COLABORACIÓN CON LA RED INTERNACIONAL DE INVESTIGACIÓN ECOLÓGICA DE LARGO PLAZO (ILTER)  	socio-ecosistemas, trans-disciplina, investigación ecológica de largo plazo, ILTER, redes de investigación, enfoque de sistemas, Mex-LTER. 	El enfoque-sistémico está ayudando a reconocer la naturaleza humano-bio-física compleja, auto-organizada, multi-escalar y fuertemente integrada de los socio-ecosistemas. Este nuevo paradigma ontológico requiere nuevas herramientas epistemológicas como la investigación transdisciplinaria, que está induciendo cambios en el quehacer científico, incluyendo: el enfoque filosófico con el que observamos el mundo; nivel de compromiso que ponemos en nuestros trabajo; amplitud de nuestras metas de investigación; escala geográfica y contexto de los casos de estudio; tipo de colaboración; y arreglos institucionales para lograr nuestras metas. Al reconocerse el carácter global de la crisis ecológica, se han promovido iniciativas de investigación de corte mundial para lidiar con el problema. El reto es amplio y ningún país o institución puede abordarlo de manera individual, por lo que se han creado redes de investigación internacionales y multi-institucionales. La red Internacional de Investigación Ecológica a Largo-Plazo (ILTER), a sus 20 años, agrupa >600 grupos académicos de 38 países (incluyendo México) con la misión de mejorar el entendimiento del ecosistema global y provee conocimientos para la solución de problemas ambientales. La red ha migrando de una investigación estrictamente ecológica a una que incluye aspectos socio-ambientales, más comprometida, relevante y con mayor presencia internacional. Los miembros de la ILTER tienen experiencia en el acopio y análisis de bases-de-datos ambientales y son responsables de la creación y mantenimiento de un numero significativo y único de bases-de-datos de largo-plazo. Su amplia y versátil agenda de investigación y monitoreo ecológico, así como su peculiar compromiso de trabajar en sitios específicos durante décadas, ha hecho de la ILTER un colaborador natural en los programas científicos  internacionales de corte ambiental. No debemos  subestimar la urgencia y el compromiso que requiere apoyar y promover la investigación socio-ecosistémica en México con un enfoque transdisciplinario, para participar de manera más activa con la agenda de investigación ambiental internacional. 
simposio	ID:837 	Fortalecimiento de capacidades para la vinculación internacional: participación global para la acción local	NETWORKS ON REDD+: DO THEY SUPPORT RESEARCH AND RESEARCHERS?  	networks research policy advocacy REDD+ 	Background Reduced Emissions from Deforestation and forest Degradation (REDD+) is a hot topic at the moment because it is one of the few elements of UNFCCC policy which has made progress recently and which moreover looks as if it may have some chance of success in promoting activities to mitigate climate change and improve socio-ecosystem management. As a result of this prominence, numerous networks and platforms have sprung up on different aspects of the topic, both internationally and within individual countries such as Mexico. The vast majority of these networks and platforms are NGO based, and often they have advocacy and policy motives, while a few have university bases. Research question In this paper we review and characterise a number of networks and platforms on REDD+ and trace their influence on and relations to academic research. Methodology The relations between existing REDD+ networks and academic research on REDD+ will be traced through discourse analysis to identify to what extent they, and material they produce, are quoted in academic articles and to what extent they themselves refer to academic articles. Since the universe of articles on REDD+ is very large, a subset - those focusing of rights to carbon - will be the focus of the analysis. 
simposio	ID:1231 	Fortalecimiento de capacidades para la vinculación internacional: participación global para la acción local	ENLAZANDO LA CIENCIA CON LAS POLÍTICAS: PLATAFORMA INTERGUBERNAMENTAL CIENTÍFICO-NORMATIVA SOBRE DIVERSIDAD BIOLÓGICA Y SERVICIOS DE LOS ECOSISTEMAS (IPBES)  	interface ciencia-política, servicios ecosistémicos, interdisciplina 	La pérdida de biodiversidad es uno de los más graves cambios globales provocado por el desarrollo de las sociedades, principalmente a partir de mediados del siglo pasado. Múltiples esfuerzos se promovieron para revertir estos procesos de pérdida, sobre todo desde la entrada en vigor de la Convención sobre Diversidad Biológica (CBD). Las metas no se han alcanzado, entre otros factores, por la confrontación de las políticas económicas y de desarrollo social con las de conservación de los ecosistemas naturales y por la incapacidad de incorporar el conocimiento científico en la toma de decisiones. Para acelerar el cumplimiento de los objetivos de la CBD y reconociendo que el vasto conocimiento científico existente en el tema, la ONU estableció en 2012 la Plataforma Intergubernamental Científico-normativa sobre la Diversidad Biológica y los Servicios de los Ecosistemas (IPBES). El objetivo del IPBES es estrechar la interface ciencia-política para la conservación y uso sustentable de la biodiversidad y de sus servicios ambientales, así como para el bienestar de la población y el desarrollo sustentable. El IPBES estableció el Grupo Multidisciplinario de Expertos (MEP) para auxiliar en el cumplimiento de sus funciones y conducir las acciones del programa de trabajo como son: fortalecimiento de capacidades, compilación de conocimiento y de bases de datos, formulación y conducción de evaluaciones globales, regionales, y sub-regionales, elaboración de documentos guía. Para ello, el MEP convoca a científicos especialistas en diferentes áreas, promoviendo la transdisciplina. Este nuevo espacio de participación de científicos constituye una gran oportunidad para fortalecer la colaboración entre investigadores de diferentes países, de diversas disciplinas, para construir nuevos enfoques en el quehacer científico, para fortalecer las redes de investigación y de estas con las instituciones de gobierno y la sociedad, así como para crear nuevas instituciones. Su alcance, además del global, es muy importante para la agenda nacional. 
simposio	ID:1313 	Fortalecimiento de capacidades para la vinculación internacional: participación global para la acción local	VINCULANDO A INVESTIGADORES MEXICANOS CON LOS PROGRAMAS INTERNACIONALES SOBRE AMBIENTE Y SUSTENTABILIDAD ENGLOBADOS POR FUTURE EARTH  	ambiente, México, sustentabilidad, sistemas socioecológicos, ICSU, PECS 	"Ante la creciente complejidad de la problemática ambiental se vuelve cada vez más pertinente la investigación en grandes grupos de investigación interdisciplinaria. Los proyectos de investigación grupal brindan una oportunidad única para entender cómo el entendimiento de las problemáticas locales contribuye al entendimiento de los procesos globales y viceversa. Esta plática, promovida por la Red de Socio-ecosistemas y sustentabilidad (redecosust) tiene por objetivo presentar la evolución de los programas globales auspiciados por ICSU, la Unión de Sociedades Científicas del plantea, y evaluar las oportunidades y obstáculos para los investigadores mexicanos interesados en participar en estos. A partir de los 70's se crean varios programas globales los cuales son recientemente reorganizados bajo la sombrilla de FUTURE EARTH (""Tierra Futura""), el cual es una iniciativa de investigación internacional con vigencia de 10 años internacional. FUTURE EARTH pretende desarrollar el conocimiento para responder eficazmente a los riesgos y oportunidades del cambio ambiental global y apoyar la transformación hacia la sostenibilidad global en las próximas décadas. FUTURE EARTH movilizará a miles de científicos, fortaleciendo alianzas con políticos y otros actores interesados en identificar oportunidades parala sostenibilidad. Uno de los programas incluidos en esta sombrilla, PECS, ProgrammeforEcosystemChange and Society (Programa de Cambios en el Ecosistema y en la Sociedad) es particularmente relevante para la redecosust por la cercanía en sus objetivos. PECS ofrece excelentes oportunidades para los investigadores mexicanos para aportar entendimientos globales desde sus proyectos locales. Los mecanismos para solicitar participación en este programa son muy transparentes y accesibles para los investigadores mexicanos. Es altamente deseable tanto para la investigación en México como para la investigación en el planeta intercambiar perspectivas y aprendizajes a través de redes de investigación como redecosust y programas globales como PECS y FUTURE EARTH. "
simposio	ID:293 	Fortalecimiento de capacidades para la vinculación internacional: participación global para la acción local	RED DE INVESTIGACIÓN SOBRE ESTUDIOS DE DEGRADACIÓN Y DESERTIFICACIÓN: ARIDNET, OPORTUNIDADES DE COLABORACIÓN  	red de colaboracion, desertificación, casos de estudio, zonas aridas/semiaridas, sistemas socio-ecologicos 	ARIDnet es una red internacional para la evaluación, investigación e integración de la desertificación de zonas áridas y semiáridas que cubren 40% de la superficie terrestre. Las zonas áridas/semiáridas son altamente vulnerables a la degradación y desertificación. Para lograr un desarrollo sustentable, se requiere de una ciencia nueva y de un marco conceptual basado en un manejo integral de los ecosistemas y de sus servicios. ARIDnet ha respondido a esta necesidad: la red está formada por distintos grupos de interés incluyendo investigadores, campesinos, productores, tomadores de decisión para el desarrollo de políticas públicas, ONGs, etc. de diferentes países del mundo, representando diversas disciplinas y habilidades, conexiones culturales a la tierra, y conocimiento ambiental local. En conjunto la diversidad de los miembros facilita la exploración de las complejas relaciones de diversos sistemas socio-ecológicos y su impacto en la sustentabilidad de los servicios ecosistémicos a largo plazo. ARIDnet aplica el paradigma para el desarrollo de zonas áridas/semiáridas (DDP) como marco analítico en casos de estudio donde se examinan de qué manera los modos de vida de poblaciones humanas en diferentes países del mundo dependen de los servicios ecosistémicos de diversos ecosistemas únicos en zonas aridas/semiaridas. Aplicar el DDP implica identificar i) los factores, retroalimentaciones y actores clave operando en múltiples escalas espaciotemporales; ii) la resiliencia de sistemas como respuesta adaptativa a perturbaciones; iii) e integrar los sistemas de conocimiento y acciones adaptativas. Contrastaré casos de estudios en México, Bolivia y Chile y demostraré como el DDP sirve como guía central en el estudio de complejidad de sistemas acoplados socio-ecológicos. Demostraré el valor agregado y la función de la red ARIDnet 1) en el estudio sobre el desarrollo de zonas aridas/semiáridas en zonas afectados por la desertificación; 2) su papel en el avance de la ciencia de sustentabilidad en las Américas. 
simposio	ID:606 	Determinación del caudal ecológico en cuatro cuencas de México	PROGRAMA NACIONAL DE RESERVAS DE AGUA: RESULTADOS ALCANZADOS DURANTE LA PRIMERA FASE (2012-2014)  	Reservas de agua, caudal ecológico, cuenca hidrológica 	En 2012 la Comisión Nacional del Agua y la Alianza WWF-Fundación Gonzalo Río Arronte I.A.P. iniciaron, con financiamiento del Banco Interamericano de Desarrollo y apoyo de la Comisión Nacional de Áreas Naturales Protegidas, el Programa Nacional de Reservas de Agua (PNRA) con el propósito de reservar por decreto agua para el ambiente. Esta fase del PNRA consistió en la conformación de cuerpos académicos y organizaciones de la sociedad civil para aplicar, de manera sistemática y progresiva, la Norma Mexicana - Que establece el procedimiento para la determinación del caudal ecológico en cuencas hidrológicas (NMX-AA-159-SCFI- 2012) en seis zonas piloto: Chamela (Jalisco), Sierra Gorda (Querétaro, Guanajuato y San Luis Potosí), Papaloapan (Puebla, Veracruz y Oaxaca), Copalita-Zimatán-Coyula (Oaxaca), Acaponeta (Nayarit) y San Pedro Mezquital (Durango y Nayarit). Entre los resultados más relevantes, se desarrollaron propuestas de caudal ecológico por un volumen conjunto de 48,646 Mm3/año para la conservación del régimen hidrológico de 43 cuencas hidrológicas, que abarcan 91,675 km2, mantienen la conectividad hidrológica longitudinal, lateral y vertical en 4,552 km de cauces principales, 17 ANP, 13 humedales de importancia internacional (sitios Ramsar) y 31 acuíferos, con beneficio directo a 546 especies catalogadas en algún estado de protección. Por lo que respecta a la evaluación económica de estas propuestas, el análisis costo-beneficio arrojó resultados que oscilan entre las proporciones de 1:31 a 1:3,557. Finalmente, el 15 de Septiembre de 2014 se publicó en el Diario Oficial de la Federación el primer decreto de reservas de agua para la cuenca del río San Pedro Mezquital. A la fecha, el gobierno federal reconoce las reservas de agua como una medida de adaptación ante los impactos de cambio climático y sus metas se han incluido en los Programas Sectorial de Medio Ambiente 2013-2018, Nacional Hídrico 2014-2018, Especial de Cambio Climático (2014-2018), y la Política Nacional de Humedales. 
simposio	ID:765 	Determinación del caudal ecológico en cuatro cuencas de México	CÁLCULO DE CAUDALES AMBIENTALES DE LAS CORRIENTES PRINCIPALES QUE ALIMENTAN EL ANP MARISMAS NACIONALES  	Caudales Ambientales, Marismas Nacionales, Escurrimiento Medio Anual, Reserva de Agua. 	Considerando que la variabilidad hidrológica en escalas de tiempo estacional o inter-anual contribuyen a determinar la estructura ecológica de los humedales y que para mantener los servicios ambientales que de ellos dependen, es necesario mantener un caudal ambiental, el presente trabajo tiene como objetivo estimar dicho caudal para los principales ríos que alimentan a Marismas Nacionales. Este complejo de humedales es considerado como uno de los ecosistemas más importantes y biodiversos del Noroeste de México y por ello está incluido en la Convención de Ramsar y declarado como Área Natural Protegida (CONANP) y Región (terrestre, marina e hidrológica) prioritaria (CONABIO). Para cumplir el objetivo, se aplicó la metodología hidrológica propuesta en la Norma Mexicana NMX-AA-159-SCFI-2012, con datos de escurrimiento de los ríos Baluarte (límite norte), Cañas, Acaponeta, Bejuco, Rosamorada, San Pedro y Santiago (límite sur). Excluyendo a los ríos Baluarte y Santiago, ambos represados, el Río San Pedro resulta el principal aporte directo de agua dulce con un escurrimiento medio anual (EMA) de 2,725 Hm3/año, mismo que puede modificarse sensiblemente con la construcción de infraestructura para la generación de electricidad. A este río le precede en aporte de escurrimientos el río Acaponeta con un EMA de 1,345 Hm3/año y debido a la baja presión de uso del recurso hídrico en su cuenca, actualmente se está proponiendo como una Reserva de Agua. El resto de los ríos (Cañas, Rosamorada y Bejuco) se manifiestan actualmente como corrientes temporales que en conjunto aportan apenas 366 Hm3/año. Finalmente, con la metodología utilizada se proponen volúmenes finales de reserva para cada río, resaltando el San Pedro con 1,680 Hm3/año (62% EMA) y el Acaponeta con 922 Hm3/año (68.8% EMA), que al no estar regulados permiten un pulso natural del flujo, importante para el correcto funcionamiento de los ecosistemas. 
simposio	ID:936 	Determinación del caudal ecológico en cuatro cuencas de México	CRITERIOS ECOLÓGICOS PARA LA DETERMINACIÓN DEL CAUDAL AMBIENTAL EN LA COSTA SUR DE JALISCO  	Caudal ecológico, ríos, indices bióticos, vegetación ribereña, reserva de agua, cuencas, Jalisco 	Los ríos en México están en constante proceso de degradación, afectados principalmente por la descarga de aguas residuales sin tratar y el desvío y en muchos casos desecamiento de ríos y arroyos para abastecimiento de agua a centros de población y actividades productivas. Aun cuando la Ley de Aguas Nacionales consideraba dentro de la misma, el dejar agua en los ríos para los procesos ecológicos que desarrollaban dentro de estos ecosistemas acuáticos, no fue hasta 2012 que se publicó la norma mexicana NMX-AA-159-SCFI-2012, que establece el procedimiento para la determinación del caudal ecológico en cuencas hidrológicas. Esta norma aunada con la creación del Programa Nacional de Reservas de Agua en México de la CONAGUA, en colaboración con el WWF-México y el BID, dieron la pauta para iniciar la determinación del caudal ecológico en México. Se realizó esta determinación para las cuencas de los ríos San Nicolás, Chamela, Cuitzmala y Purificación, cuencas costeras que se ubican en el sur del estado de Jalisco. Los criterios para la definición del caudal ecológico es la integración de los requerimientos de hábitat que tienen las especies vegetales y animales en función del régimen anual del caudal y las condiciones de calidad del agua del río. En este contexto se utilizaron indicadores ecológicos para estos ríos costeros, tales como índice biótico de peces, índice biótico de invertebrados acuáticos y así como la composición y estructura de la vegetación ribereña y la evaluación del estado de integridad ecológica, vinculado con la variación anual del caudal circundante y los parámetros físicos e hidráulicos de los ríos. Una vez determinado los requerimientos de agua con criterios ambientales, se analizaron las necesidades de abastecimiento de agua para comunidades rurales y para el desarrollo de actividades productivas para finalmente definir la reserva de de agua para caudal ecológico 
simposio	ID:446 	Determinación del caudal ecológico en cuatro cuencas de México	APLICACIÓN DE LA METODOLOGÍA HOLÍSTICA DE CAUDALES ECOLÓGICOS EN CUENCAS DEL NOROESTE DE MÉXICO  	Caudal ecológico, Cuencas, Marismas Nacionales, Río Acaponeta, Manejo Holístico 	Marismas Nacionales es el humedal más importante del Pacífico Mexicano. Para conservar su funcionalidad, la cual depende en gran manera de los ríos que descargan sus aguas en dicho ecosistema, en el 2014 con la colaboración de 38 expertos (10 instituciones), se aplicó la metodología Holística (Norma Mexicana NMX-AA-159-SCFI-2012) con el objetivo de establecer el Caudal Ecológico para las cuencas hidrológicas de 4 ríos de la cuenca del Acaponeta (Ríos Cañas, Acaponeta, Rosamorada y Bejuco), en donde a partir de variables físicas, hidrológicas y de calidad, se identificó la relación existente entre la alteración de cada componente del régimen hidrológico y, en su caso, la respuesta ecológica a esta alteración. En el estudio intervienen 9 disciplinas. Dicha aplicación tiene como objetivo garantizar un flujo de agua y sedimentos adecuados para el mantenimiento y funcionalidad de la cuenca del río Acaponeta y de sus comunidades biológicas. Los resultados muestran un volumen de extracción total de 59,493,991m3/año, amparados en 265 títulos de concesión. El uso acuícola es el de mayor volumen de extracción (78.7%). Se encontró un total de 114 especies de vegetación riparia, 27 especies de peces, 5 especies de artrópodos. Del total de especies 11 se encuentran dentro de la NOM-059- SEMARNAT-2010 y 35 se encuentran en el listado de la IUCN. Se propone una Reserva de agua de 860.3 Mm3/año para el río Acaponeta 1 y 936.7 Mm3/año para el río Acaponeta 2, 41.3 Mm³/año para el Río Cañas 1, 79.36 Mm³/año para el río Cañas 2, 51.9 Mm³/año para el Río Rosamorada 1, 117.4 Mm³/año para río Rosamorada 2, 69.6 Mm³/año para el Río Bejuco 1 y 121.21 Mm³/año para el Río Bejuco 2. 
simposio	ID:699 	Determinación del caudal ecológico en cuatro cuencas de México	CAUDAL AMBIENTAL DEL PAPALOAPAN  	holístico, conservación ecosistemas, planeación uso del agua, humedales, restauración 	La cuenca del Papaloapan abarca 47,482ha, que captan, filtran y escurre el agua que alimenta los humedales del Papaloapan, da vida a presas, actividades productivas y mantiene los ecosistemas de la cuenca. Actualmente hay mayor demanda de agua para las ciudades y las actividades productiva y muchos ecosistemas se degradan al cambiar las condiciones ambientales. En México se han perdido o degradado el 62% de los humedales. En este trabajo se determinó el caudal ambiental de la cuenca del Papaloapan, es decir se cuantificó la cantidad de agua que los humedales de la cuenca baja reciben y requieren para mantenerse, tomando en cuenta las necesidades productivas y de vida diaria de la región. Para ello se realizó un estudio interdisciplinario con la metodología holística de la NMX-AA-159-SCFI-2012 utilizando diez unidades de evaluación de caudal ecológico, en las cuales se muestreó la vegetación riparia, de humedales, sumergida, los macroinvertebrados asociados, calidad de agua de los ríos, uso del agua; se caracterizó la actividad socioeconómica. La propuesta de caudales se realizó con base en los objetivos de conservación. Se calculó la disponibilidad de agua, se generaron hidrogramas y volumen medio anual de escurrimiento natural. En la fase de integración donde se identifica a partir de variables físicas, hidrológicas y de calidad, la relación existente entre la alteración de cada componente del régimen hidrológico y en su caso la respuesta ecológica a esta alteración con base en la sensibilidad de cada una de las unidades trabajadas. El total de disponibilidad para las diez UECE's en estudio es de 99,445 millones de metros cúbicos/año, con un volumen de extracción para estas mismas cuencas de 1,245.44 millones de metros cúbicos que corresponde a solo el 1.25%. El volumen calculado de reserva ecológica es de 73.30% de la disponibilidad total. 
simposio	ID:124 	La biodiversidad en paisajes tropicales fragmentados: Identificando amenazas y estrategias de conservación a diferentes escalas	IMPACTO DEL CONTEXTO REGIONAL Y PAISAJÍSTICO SOBRE LA DIVERSIDAD BETA DE ÁRBOLES EN BOSQUES TROPICALES FRAGMENTADOS  	Fragmentación, Biodiversidad, Diversidad beta, Homogenización Biótica 	"La pérdida y fragmentación de los bosques tropicales amenazan la persistencia de la diversidad global, pero su impacto sobre el recambio de especies (diversidad beta) entre paisajes es poco conocido. Los paisajes fragmentados pueden experimentar un proceso de homogenización biótica (pérdida de diversidad beta) debido a la proliferación de unas pocas especies adaptadas a las condiciones ambientales predominantes en estos paisajes. Sin embargo, la limitación de dispersión y la variación en los efectos de borde pueden incrementar la diversidad beta entre paisajes, promoviendo su diferenciación biótica. Nosotros probamos estas dos hipótesis alternativas evaluando los cambios en diversidad beta de árboles tropicales (diámetro a la altura del pecho > 10 cm) entre paisajes localizados en regiones de México y Brasil que han sufrido diferentes historias y patrones de cambio de uso de suelo. Nuestros resultados indican que en regiones que han perdido un mayor porcentaje de cobertura forestal original y con matrices dominadas por áreas abiertas, la diversidad beta entre paisajes fragmentados es mayor que entre paisajes control (100% cobertura forestal). Así, la deforestación y fragmentación de estos bosques parece promover la diferenciación florística entre paisajes. Utilizando pruebas de Mantel encontramos que las diferencias en diversidad beta entre paisajes están más fuertemente relacionadas con atributos a escala de paisaje (i.e., diferencias en cobertura forestal y densidad de borde) que con el grado de perturbación local (i.e., densidad de plantas pioneras). Por tanto, nuestros resultados apoyan la hipótesis de la ""divergencia del paisaje"", que sugiere que paisajes con diferente grado de conectividad y con distintos efectos de borde pueden experimentar trayectorias sucesionales contrastantes, promoviendo su diferenciación biótica (incrementos en diversidad beta). Estos hallazgos tienen importantes implicaciones ecológicas y de conservación ya que sugieren que la dinámica de la comunidad de árboles en paisajes fragmentados depende fuertemente del contexto regional y paisajístico. "
simposio	ID:178 	La biodiversidad en paisajes tropicales fragmentados: Identificando amenazas y estrategias de conservación a diferentes escalas	EFFECTS OF LANDSCAPE-SCALE FOREST LOSS ON BIODIVERSITY PATTERNS  	deforestation, forest cover, habitat fragmentation, extinction thresholds, tropical forest 	Habitat loss is recognized as a major driver of the current species extinction crisis, but few studies have tested the impact of forest loss on several biological groups to identify: (1) which species and groups are more sensitive to changes in landscape forest cover; and (2) linear vs. nonlinear (threshold) responses to habitat loss. We sampled plant and animal assemblages in 20 to 40 landscapes ranging from 5% to 85% of remaining forest cover in Bahia, Brazil, to test the impact of landscape forest cover on biodiversity patterns. Forest structure was strongly influenced by forest cover loss, with stem density and tree basal area being positively related to landscape forest cover. Deforestation also affected (negatively) the diversity of saplings and adult trees, negatively impacting some particular plant families, such as Rubiaceae and Arecaceae. Some functional strategies, such as shade-tolerant and large-seeded tree species, were particularly vulnerable to changes in forest cover, showing a nonlinear pattern of species loss, with an extinction threshold below 30% of forest cover. Some specific groups of birds, such as forest-dwelling, frugivorous and insectivorous species, were also negatively affected by forest loss, with an extinction threshold below 50% of forest cover. In contrast, insectivorous bats and small mammals were positively and linearly related to landscape forest cover. Thus, landscape forest loss has pervasive impacts on biodiversity patterns, triggering major changes in forest structure. Considering the very high sensibility of most biological groups to variations in landscape forest cover, biodiversity conservation at the regional level will depend on the preservation of this important attribute of landscape composition. 
simposio	ID:135 	La biodiversidad en paisajes tropicales fragmentados: Identificando amenazas y estrategias de conservación a diferentes escalas	DEFORESTACIÓN Y SUS EFECTOS SOBRE LA DIVERSIDAD FILOGENÉTICA DE COMUNIDADES DE ÁRBOLES NEOTROPICALES  	filogenética de comunidades, fragmentación de habitat, pérdida de habitat, reglas de ensamblaje, selva alta perennifolia 	"La conversión de selvas tropicales continuas en ""archipiélagos"" de parches aislados es una de las principales causas de la erosión del capital natural en nivel global. Los neotropicos concentran gran parte de la diversidad de árboles y de los paisajes fragmentados y deforestados del planeta, pero poco se sabe sobre cómo la deforestación a la escala de paisaje afecta la estructura y diversidad filogenética de las comunidades de árboles remanentes. En este estudio investigamos 98 paisajes de 50 ha, distribuidas en seis regiones de Brasil a México, y con niveles de cobertura forestal que varían del 5.5% al 100%. Los análisis basados en el índice de parentesco neto (NRI en inglés) indicaron que la estructura filogenética de las comunidades varía poco con la cobertura forestal remanente. Sin embargo, dependiendo de la región, la deforestación puede disminuir el grado de parentesco entre las especies. La distancia filogenética media (MPD en inglés) tampoco respondió significativamente al gradiente de porcentaje de hábitat remanente en el paisaje. Nuestros resultados sugieren que la pérdida de especies documentada para muchos paisajes neotropicales deforestados no se concentra en clados particulares, lo que resulta en poca variación en la estructura y diversidad filogenética de las comunidades remanentes. También resaltan un alto valor para la conservación de los paisajes muy deforestados, puesto que aún resguardan un gran patrimonio evolutivo de los organismos que estructuran las selvas altas perennifolias. "
simposio	ID:136 	La biodiversidad en paisajes tropicales fragmentados: Identificando amenazas y estrategias de conservación a diferentes escalas	EROSIÓN DE LA DIVERSIDAD FUNCIONAL DE LA COMUNIDAD DE INSECTOS EN FRAGMENTOS DE BOSQUE ATLÁNTICO  	ants, butterflies, dung beetles, termites, fragmentation, habitat structure 	Insects represent a dominant group across tropical forest biotas, but their responses to human disturbances remain poorly investigated. Here we examine the relative effects of habitat fragmentation (fragment size and isolation) and habitat structure (tree density and richness) on functional diversity and composition of ants, butterflies, dung-beetles and termites in the Atlantic forest of northeast Brazil. Insects were collected in 19 fragments from ten to 3500 ha in size with methods previously adopted for each group. Functional diversity was based on dietary preferences for ants, beetles and termites, and on habitat specialization for butterflies. We also used a simplified categorization of functional groups in generalists and specialists. Ants were the richest group at both local (29-67 species) and landscape (146 species) levels followed by butterflies (11-27 species; 57 in the total), termites (12-24 species; 40 species in the total) and dung beetles (3-23; 30 species in the total). Fragment size, tree density and tree species richness were positively correlated with functional diversity of ants and dung beetles. In the same way, all explanatory variables (i.e. fragment area, forest cover, tree density and tree richness) were positively correlated with the richness of specialist ants and dung beetles. On the other hand, fragment area, tree density and tree richness affected positively the richness of generalist butterflies. Specialist and generalist termites were not influenced by fragmentation and habitat structure metrics. Our findings indicate a reduction in ecosystem services in fragmented forests as generalist species are not able to perform all functions and services provided by specialist groups. 
simposio	ID:137 	La biodiversidad en paisajes tropicales fragmentados: Identificando amenazas y estrategias de conservación a diferentes escalas	FUNCTIONAL SIGNATURE OF TREE COMMUNITIES IN NEOTROPICAL HUMAN-MODIFIED LANDSCAPES  	functional diversity, environmental filtering, tree community assembly, habitat loss 	Habitat loss and fragmentation have been the main threats to biodiversity retention in tropical rainforests. Niche-based mechanisms propose that environmental filters are prevailing mechanism for community assembly in disturbed landscapes. Therefore, predicting general responses of plant communities to shifts in landscape structure is crucial to anticipate long-term effects of habitat modification as the magnitude of environmental filtering may vary between landscapes with distinct levels of disturbance. Here, we analyzed the functional signature of tree assemblages in six fragmented landscapes of tropical rainforest with different levels of disturbance. Functional classification of tree species was based on regenerative (niche of regeneration, placement on forest stratum, wood specific density) and dispersive strategies (dispersal syndrome and seed size). The first two axes of PCA for the six landscapes explained, 41.5 (±2.9) and 27 (±3.5) % of variation on communities; the niche of regeneration (light-demanding and shade-tolerant species) and seed size (<15mm and ?15mm) loaded high in most first axis, explaining ca. 70% of variation. Landscapes with intermediary level of disturbance presented evident convergent-assembly patterns related to forest cover gradient, conducting community toward shade- tolerant hard-wooded species, biotically dispersed and placed in higher forest strata as forest cover increased. Otherwise, divergent- assembly patterns were found in landscapes with low level of disturbance. Our findings support the importance of environmental gradients in predicting functional diversity patterns in landscapes under different levels of disturbance and in different socio-ecological context. We highlight that community assembly driven by long-term proliferation of specific plant traits in landscapes under high level of disturbance may tend to ephemeral states with low functional variance. 
